company_name,company_id,is_top_company
Reliance Entertainment,7294,FALSE
Revolution Studios,497,FALSE
Rhythm Boyz Entertainment,89924,FALSE
Rialto Distribution,147314,FALSE
RLJE Films,123722,FALSE
Roadside Attractions,911,FALSE
Rocky Mountain Pictures,,FALSE
Rogue Pictures,134,FALSE
Roxie Releasing,,FALSE
Saban Films,76992,FALSE
Sarigama Cinemas,,FALSE
Screen Gems,3287,TRUE
Screen Media Films,6353,FALSE
Screenvision,,FALSE
SDG Releasing,,FALSE
Searchlight Pictures,127929,TRUE
Seville,,FALSE
Shadow Distribution,96693,FALSE
Shorts International,73718,FALSE
ShortsTV,,FALSE
Shout! Factory,12852,FALSE
ShowBiz Direct,,FALSE
Shudder/ IFC Films,,TRUE
Sideshow Releasing,,FALSE
SK Films,7519,FALSE
Soli Deo Gloria Releasing,202493,FALSE
Solstice Studios,52180,FALSE
Sony BMG,126029,FALSE
Sony Pictures Classics,58,TRUE
Sony Pictures Releasing,3045,TRUE
Spanglish Movies,164782,FALSE
Stage 6 Films,11341,TRUE
Story Island Entertainment,,FALSE
Strasson Group,,FALSE
Studio 18,3747,FALSE
Studio 8,77863,FALSE
STX Entertainment,,FALSE
Submarine Deluxe,125341,FALSE
Summit Entertainment,491,FALSE
Susan Tuckett Media,,FALSE
Swapna Scarecrow,208617,FALSE
Televisa Cine,,FALSE
The Avenue Entertainment,185127,FALSE
The Bigger Picture,12979,FALSE
The Film Arcade,61901,FALSE
The H Collective,116562,FALSE
The Orchard,9286,FALSE
The Samuel Goldwyn Company,,FALSE
The Weinstein Company,308,FALSE
THINKFilm,446,FALSE
Third Day Productions,,FALSE
Toho International,,FALSE
Tolly Movies,,FALSE
Trafalgar Releasing,139109,FALSE
Trimark Pictures,4063,FALSE
TriStar Pictures,559,FALSE
Triumph Releasing Corporation,,FALSE
Truly Indie,,FALSE
truTV,121893,FALSE
TSG,,FALSE
TVA,,FALSE
Twentieth Century Fox,25,TRUE
Twenty First Century Entertainment,149488,TRUE
Unison/Paladin,,FALSE
United Artists,60,FALSE
United Artists Releasing,,FALSE
Universal Home Video,3487,FALSE
Universal Pictures,33,TRUE
Universal Pictures International (UPI),5726,FALSE
UP2U Films,184416,FALSE
USA Films,987,FALSE
Utopia,18066,FALSE
UTV Motion Pictures,2320,FALSE
Variance Films,,FALSE
Vertical Entertainment,88606,FALSE
Vineyard Distribution,,FALSE
Visio Entertainment,,FALSE
Vital Pictures,104291,FALSE
Viva Pictures,1034,FALSE
Vivendi Entertainment,4575,FALSE
Walt Disney Pictures,2,TRUE
Walt Disney Studios Motion Pictures,2,TRUE
Warner Bros.,174,TRUE
Warner Independent Pictures (WIP),,FALSE
Warren Miller Entertainment,17183,FALSE
Well Go USA Entertainment,92394,FALSE
Wellspring Media,39481,FALSE
WGB.,,FALSE
Wingate Distribution,,FALSE
WinStar Cinema,,FALSE
Yari Film Group Releasing,9037,FALSE
Yash Raj Films,1569,FALSE
Yash Raj Films USA Inc.,,FALSE
Zee Studios,86347,FALSE
Zee TV,195361,FALSE
Zeitgeist Films,106082,FALSE
Zhen Pictures,,FALSE
Zion Films,127995,FALSE
