ID,TMDB ID,Wikidata ID,IMDB ID,Title,Budget,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters
226,385687,,tt5433140,Fast X,340000000,2023-05-17,704709660,,4046,67017410,146126015,558749000,704875015,,,,,,,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,Universal Pictures,4088
227,507089,,tt4589218,Five Nights at Freddy's,20000000,2023-10-25,294803785,,3675,80001720,137275620,154218000,291493620,,,,,,,/4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg,Universal Pictures International (UPI),3789
228,940551,,tt6495056,Migration,72000000,2023-12-06,298776052,,3761,12453275,127306285,172556919,299863204,,,,,,,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,Universal Pictures,3839
229,572802,,tt9663764,Aquaman and the Lost Kingdom,205000000,2023-12-20,434381226,,3706,27686211,124481226,314900000,439381226,,,,,,,/7lTnXOy0iNtBAdRP3TZvaKJ77F6.jpg,Warner Bros.,3787
230,614930,,tt8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,75000000,2023-07-31,180513586,,3858,28007544,118613586,63235246,181848832,,,,,,,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg,Paramount Pictures,3950
231,934433,,tt17663992,Scream VI,35000000,2023-03-08,168961389,,3675,44447270,108161389,58186125,166347514,,,,,,,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,Paramount Pictures,3676
232,298618,,tt0439572,The Flash,220000000,2023-06-13,271333313,,4234,55043679,108133313,163300000,271433313,,,,,,,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,Warner Bros.,4256
233,901362,,tt14362112,Trolls Band Together,95000000,2023-10-12,207318137,,3870,30002525,102996915,106375875,209372790,,,,,,,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,Universal Pictures,3893
234,536554,,tt8760708,M3GAN,12000000,2022-12-28,180089109,,3509,30429860,95159005,84930104,180089109,,,,,,,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,Universal Pictures,3628
235,493529,,tt2906216,Dungeons & Dragons: Honor Among Thieves,151000000,2023-03-23,208200000,,3855,37205784,93277026,111910737,205187763,,,,,,,/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg,Paramount Pictures,3856
236,926393,,tt17024450,The Equalizer 3,70000000,2023-08-30,190000000,,3965,34604229,92373751,98693809,191067560,,,,,,,/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,Columbia Pictures,3965
237,1072790,,tt26047818,Anyone But You,25000000,2023-12-21,214891370,,3055,6000344,88319668,131990986,220310654,,,,,,,/5qHoazZiaLe7oFBok7XlUhg96f2.jpg,Columbia Pictures,3055
238,968051,,tt10160976,The Nun II,38500000,2023-09-06,269467073,,3728,32603336,86267073,183400000,269667073,,,,,,,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg,Warner Bros.,3743
239,609681,,tt10676048,The Marvels,274800000,2023-11-08,207089999,,4030,46110859,84500223,121636602,206136825,,,,,,,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,Walt Disney Studios Motion Pictures,4030
240,615656,,tt9224104,Meg 2: The Trench,129000000,2023-08-02,384056482,,3503,30002735,82600317,315200000,397800317,,,,,,,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,Warner Bros.,3604
241,614479,,tt13405778,Insidious: The Red Door,16000000,2023-07-05,189086877,,3188,33013036,82156962,106929915,189086877,,,,,,,/d07phJqCx6z5wILDYqkyraorDPi.jpg,Screen Gems,3188
242,565770,,tt9362930,Blue Beetle,104000000,2023-08-16,130788072,,3871,25030225,72488072,58300000,130788072,,,,,,,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,Warner Bros.,3871
243,466420,,tt5537002,Killers of the Flower Moon,200000000,2023-10-18,156922344,,3628,23253655,68026901,90737111,158764012,,,,,,,/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,Paramount Pictures,3786
244,616747,,tt1695843,Haunted Mansion,157800000,2023-07-26,117449790,,3740,24082475,67653287,49796503,117449790,,,,,,,/8Im6DknDVxRiGXc5t8rVOJyzuNx.jpg,Walt Disney Studios Motion Pictures,3740
245,713704,,tt13345606,Evil Dead Rise,15000000,2023-04-12,146700000,,3402,24504315,67233054,79800000,147033054,,,,,,,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,Warner Bros.,3417
246,807172,,tt12921446,The Exorcist: Believer,30000000,2023-10-04,136284218,,3663,26497600,65537395,70757212,136294607,,,,,,,/fFXkAlMH2iQrNknv4eq7LGTkcti.jpg,Universal Pictures,3684
247,893723,,tt15837338,PAW Patrol: The Mighty Movie,30000000,2023-09-21,202231360,,3989,22764354,65231360,139755560,204986920,,,,,,,/aTvePCU7exLepwg5hWySjwxojQK.jpg,Paramount Pictures,4027
248,804150,,tt14209916,Cocaine Bear,32500000,2023-02-22,88314672,,3534,23260790,64670240,23644432,88314672,,,,,,,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,Universal Pictures,3571
249,1022796,,tt11304740,Wish,175000000,2023-11-13,254997360,,3900,19698228,63973821,191023539,254997360,,,,,,,/vgJZSqKMXWDDx09iSIStGKfHMku.jpg,Walt Disney Studios Motion Pictures,3900
250,753342,,tt13287846,Napoleon,165000000,2023-11-22,220597098,,3500,20638887,61524375,159870463,221394838,,,,,,,/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg,Columbia Pictures,3500
251,558915,,tt1200263,The Color Purple,95000000,2023-12-25,67519192,,3203,11737072,60619191,8200000,68819191,,,,,,,/h5bqIxM8GO4TewJ0u6Rzkg58ssJ.jpg,Warner Bros.,3218
252,594767,,tt10151854,Shazam! Fury of the Gods,125000000,2023-03-15,134038006,,4071,30111158,57638006,76500000,134138006,,,,,,,/A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,Warner Bros.,4071
253,940721,,tt23289160,Godzilla Minus One,15000000,2023-11-03,115857413,,2308,11419975,57144669,56531653,113676322,,,,,,,/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,Toho International,2622
254,951491,,tt21807222,Saw X,13000000,2023-09-27,111823047,,3262,18309301,53607898,58594582,112202480,,,,,,,/u7Lp1Hi8aBS73jv4KRMIv5aK4ax.jpg,Lionsgate,3262
255,823452,,tt1856080,The Boys in the Boat,40000000,2023-12-25,54401583,,2557,8400548,52641306,2860059,55501365,,,,,,,/ncJMztHprw3gLRAnDjNnnT23CIt.jpg,Amazon MGM Studios,2687
256,964980,,tt16419074,Air,80000000,2023-04-05,90100000,,3507,14456279,52460106,37600000,90060106,,,,,,,/76AKQPdH3M8cvsFR9K8JsOzVlY5.jpg,Amazon MGM Studios,3507
257,719256,,tt10098448,Jesus Revolution,15000000,2023-02-23,52300000,,2475,15882067,52102987,2190697,54293684,,,,,,,/A3qqrl8lJvlpRCwkbUEADXzVaDC.jpg,Lionsgate,2575
258,884605,,tt15671028,No Hard Feelings,45000000,2023-06-15,83000000,,3208,15002770,50452282,36804125,87256407,,,,,,,/4K7gQjD19CDEPd7A9KZwr2D9Nco.jpg,Sony Pictures Releasing,3208
259,1008042,,tt10638522,Talk to Me,4500000,2023-07-26,92000000,,2340,10431720,48299436,43882299,92181735,,,,,,,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,A24,2379
260,508883,,tt6587046,The Boy and the Heron,50000000,2023-07-14,294200000,,2205,13011722,46832867,126117138,172950005,,,,,,,/f4oZTcfGrVTXKTWg157AwikXqmP.jpg,GKIDS,2325
261,980489,,tt4495098,Gran Turismo,60000000,2023-08-09,121700000,,3856,17410552,44428554,77648184,122076738,,,,,,,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,Sony Pictures Releasing,3856
262,532408,,tt3427252,The Boogeyman,41900000,2023-05-31,66978229,,3205,12356486,43244282,24062961,67307243,,,,,,,/pYwZdnXVnVxAr7dx4MEK7tTK9gI.jpg,Walt Disney Studios Motion Pictures,3205
263,945729,,tt22687790,A Haunting in Venice,60000000,2023-09-13,121400000,,3305,14279529,42471412,79819044,122290456,,,,,,,/l6iwxT0NbVw6QiF08YTIuTnXS82.jpg,Walt Disney Studios Motion Pictures,3305
264,670292,,tt11858890,The Creator,80000000,2023-09-27,104272136,,3680,14079512,40774679,63497457,104272136,,,,,,,/3dSivDtOuyxLDxPH4v2tcNG1fP7.jpg,Walt Disney Studios Motion Pictures,3680
265,942922,,tt18079362,80 for Brady,28000000,2023-02-03,29637811,,3912,12701640,39330588,1032350,40362938,,,,,,,/jixBLmH4gQuTKTenZr89egvqZbW.jpg,Paramount Pictures,3939
266,631842,,tt15679400,Knock at the Cabin,20000000,2023-02-01,54700000,,3643,14127170,35397980,19362967,54760947,,,,,,,/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg,Universal Pictures,3657
267,850165,,tt21064584,The Iron Claw,15900000,2023-12-21,40130232,,2774,4868370,35070296,10134153,45204449,,,,,,,/s2VLjcykJfwplJNGT5iEeCA0mRx.jpg,A24,2794
268,792307,,tt14230458,Poor Things,35000000,2023-12-07,117607117,,9,661230,34553225,83072230,117625455,,,,,,,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,Searchlight Pictures,2300
269,1185743,,tt29354040,Renaissance: A Film by Beyoncé,15000000,2023-12-01,44029271,,2539,21801216,33889684,10100000,43989684,,,,,,,/6sVB5xuQq9njHK455JdwgN8Tx07.jpg,AMC Theatres,2542
270,768362,,tt10855768,Missing,7000000,2023-01-19,45100756,,3025,9154695,32502025,16265823,48767848,,,,,,,/wEOUYSU5Uf8J7152PT6jdb5233Y.jpg,Sony Pictures Releasing,3025
271,646389,,tt5884796,Plane,25000000,2023-01-12,51000000,,3023,10265326,32111181,42404405,74515586,,,,,,,/oJRsTQR47pyjSJCZYpOfbycpNBR.jpg,Lionsgate,3060
272,700391,,tt12261776,65,45000000,2023-03-02,55000000,,3405,12328361,32062904,28667664,60730568,,,,,,,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,Sony Pictures Releasing,3405
273,1071215,,tt1448754,Thanksgiving,15000000,2023-11-16,46553280,,3204,10306272,31908884,14644396,46553280,,,,,,,/f5f3TEVst1nHHyqgn7Z3tlwnBIH.jpg,TriStar Pictures,3204
274,1001811,,tt21103300,My Big Fat Greek Wedding 3,0,2023-09-07,34900000,,3650,10028675,28496030,10335046,38831076,,,,,,,/irEqWPmDqCuzsItzefFxX3xWpL8.jpg,Focus Features,3678
275,747188,,tt14230388,Asteroid City,25000000,2023-06-08,47281670,,6,853382,28153025,25704718,53857743,,,,,,,/qdq40gRS8xKnpFt5V75t6lUHgpx.jpg,Focus Features,1901
276,906221,,tt16280138,Magic Mike's Last Dance,45000000,2023-02-09,52000000,,1496,8305317,26005156,31100000,57105156,,,,,,,/9a9pyJZRhUWUSBT8BQqWihtqbI8.jpg,Warner Bros.,3034
277,912908,,tt15153532,Strays,46000000,2023-08-17,32000000,,3223,8247810,23988885,12082382,36071267,,,,,,,/muDaKftykz9Nj1mhRheMdbuNI9Z.jpg,Universal Pictures,3232
278,1056360,,tt23561236,American Fiction,16000000,2023-11-10,22483370,,7,224469,21098470,1384900,22483370,,,,,,,/57MFWGHarg9jid7yfDTka4RmcMU.jpg,Metro-Goldwyn-Mayer (MGM),1902
279,1020006,,tt22041854,Priscilla,20000000,2023-10-27,30140906,,4,132139,20960939,12150767,33111706,,,,,,,/h1zkZ1tncveFCoqt7Pv7TDYdG8w.jpg,A24,2361
280,555285,,tt9185206,"Are You There God? It's Me, Margaret.",30000000,2023-03-29,21800000,,3343,6739037,20372406,1091637,21464043,,,,,,,/tlzx1Ghh9A399vE6ljKf5DRitlg.jpg,Lionsgate,3343
281,840430,,tt14849194,The Holdovers,13000000,2023-10-27,42513270,,6,211093,20355375,25284484,45639859,,,,,,,/VHSzNBTwxV8vh7wylo7O9CLdac.jpg,Focus Features,1601
282,758323,,tt13375076,The Pope's Exorcist,18000000,2023-04-05,76987621,,3178,9006368,20009380,56978241,76987621,,,,,,,/gNPqcv1tAifbN7PRNgqpzY8sEJZ.jpg,Screen Gems,3178
283,365620,,tt3758542,Ferrari,95000000,2023-12-14,39220516,,2386,3921773,18550028,24782946,43332974,,,,,,,/LyCOcGqOTyTmaXu2TK8LfGveIb.jpg,Neon,2386
284,1008392,,tt11703244,The Blackening,5000000,2023-06-15,16000000,,1775,6013131,17707207,462246,18169453,,,,,,,/ooB4KSRRhp7XYRQUmsi82iFnMNC.jpg,Lionsgate,1775
285,982271,,tt20768712,Book Club: The Next Chapter,20000000,2023-05-11,27849137,,3508,6677580,17581565,11432935,29014500,,,,,,,/lXoeOcWWhPpLH1wzTIhOx8jydBo.jpg,Focus Features,3513
286,864692,,tt12844910,Pathaan,29000000,2023-01-25,130000000,,695,6892182,17487476,95095974,112583450,,,,,,,/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg,Yash Raj Films USA Inc.,697
287,649609,,tt11358390,Renfield,65000000,2023-04-07,26874347,,3375,8026475,17297895,9196026,26493921,,,,,,,/jG83l0tDwoQj3hBAioIsJ5rTPHw.jpg,Universal Pictures,3378
288,1032194,,tt16374352,The Blind,30000000,2023-09-28,17265487,,1715,4341725,17265487,389,17265876,,,,,,,/sK4OHUh8NWYJNiKtQbCnebqjiM0.jpg,Fathom Events,1715
289,882569,,tt4873118,Guy Ritchie's The Covenant,55000000,2023-04-19,20000000,,2611,6380188,16938039,5010512,21948551,,,,,,,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg,Metro-Goldwyn-Mayer (MGM),2631
290,299054,,tt3291150,Expend4bles,100000000,2023-09-15,37917985,,3518,8039021,16710153,21207832,37917985,,,,,,,/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,Lionsgate,3518
291,933419,,tt15339570,Champions,0,2023-03-09,9263009,,3030,5148740,16397335,2760967,19158302,,,,,,,/yVgtsoXyTZBww7SWE4JE1U4Wcel.jpg,Focus Features,3039
292,1040148,,tt27155038,"Ruby Gillman, Teenage Kraken",70000000,2023-06-28,46247409,,3400,5500990,15753600,29904145,45657745,,,,,,,/8ChIb3WzYAcza1vrXR56v510MWk.jpg,DreamWorks,3408
293,872906,,tt15354916,Jawan,36150000,2023-09-07,136698671,,826,6124963,15198530,13300514,28499044,,,,,,,/jFt1gS4BGHlK8xt76Y81Alp4dbt.jpg,Yash Raj Films USA Inc.,826
294,597,,tt0120338,Titanic,200000000,1997-11-18,2264162353,,2674,28638131,600683057,1242690261,1843373318,,,,,,,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Paramount Pictures,3265
295,781732,,tt13751694,Animal,13000000,2023-12-01,108300000,,698,6524534,15004482,77866468,92870950,,,,,,,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,"",698
296,792293,,tt13957560,Dumb Money,30000000,2023-09-15,20703794,,8,220947,13925356,6761614,20703794,,,,,,,/e9u7luSxFKOZgPTB9XHFnPArGdP.jpg,Sony Pictures Releasing,2837
297,635910,,tt1001520,The Last Voyage of the Demeter,45000000,2023-08-09,21600000,,2715,6504950,13637180,8149095,21786275,,,,,,,/nrtbv6Cew7qC7k9GsYSf5uSmuKh.jpg,Universal Pictures,2715
298,864168,,tt15268244,Joy Ride,20000000,2023-06-22,15800000,,2820,5806277,12897789,2889885,15787674,,,,,,,/lTZ3r9NBdbrR6NA90v3hFYqd6TC.jpg,Lionsgate,2820
299,761851,,tt8277246,His Only Son,250000,2023-03-30,12100000,,1920,5501070,12392740,1424446,13817186,,,,,,,/e85UDGmD9HmKcS0BOgoha029bkK.jpg,Angel Studios,1930
300,1108658,,tt19406606,The Shift,6500000,2023-11-30,12238643,,2450,4300165,12118219,120424,12238643,,,,,,,/voLxg0emuu862JAgFwM4yTH3eGj.jpg,Angel Studios,2450
301,829051,,tt8373206,About My Father,29100000,2023-05-25,18167819,,2464,4321148,12089391,6078428,18167819,,,,,,,/hQUT2B0QVV17pYMHyLzdNGVdrBF.jpg,Lionsgate,2464
302,814776,,tt17527468,Bottoms,11300000,2023-08-25,12976079,,10,461052,12036071,940008,12976079,,,,,,,/jeyTQrNEpyE1LZIgVlswYh3sc34.jpg,Orion Pictures,1265
303,1162322,,tt21191906,After Death,40000000,2023-10-26,11537680,,2645,5051950,11478326,352534,11830860,,,,,,,/jftgQ8mYaPFYf0UywgwgqimAkmu.jpg,Angel Studios,2730
304,930564,,tt17351924,Saltburn,20000000,2023-11-16,21013738,,7,322651,11425829,9600338,21026167,,,,,,,/zGTfMwG112BC66mpaveVxoWPOaB.jpg,Warner Bros.,1566
305,666277,,tt13238346,Past Lives,12000000,2023-06-02,28126646,,4,232266,11185625,31342961,42528586,,,,,,,/rzO71VFu7CpJMfF5TQNMj0d1lSV.jpg,A24,906
306,916224,,tt16428256,Suzume,0,2022-11-11,323638107,,2170,5001705,10932037,122541522,133473559,,,,,,,/yStW1TXF5s7Tbtu9KjIZEaWl6HL.jpg,Crunchyroll,2170
307,647250,,tt11040844,The Machine,0,2023-05-25,0,,2409,5000545,10458331,205997,10664328,,,,,,,/x9dGI7LIOMMlFzyIBUta1svft2Y.jpg,Sony Pictures Releasing,2409
308,9479,,tt0107688,The Nightmare Before Christmas,18000000,1993-10-09,75634409,,2,191232,50003043,30826,50037453,,,,,,,/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,Walt Disney Studios Motion Pictures,1671
309,1067282,,tt26537229,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,0,2023-02-03,56319794,,1774,10117806,10117806,46201988,56319794,,,,,,,/hEhGrcST85vMd63PBDgPBqih2tR.jpg,Crunchyroll,1774
310,632065,,tt8005118,House Party,0,2023-01-12,0,,1400,3985882,9002247,283500,9285747,,,,,,,/KiyKR9m6h01eIvGObGmpt16U3F.jpg,Warner Bros.,1400
311,770906,,tt13927994,Salaar: Part 1 - Ceasefire,34000000,2023-12-21,87229100,,802,5618511,8929282,3029266,11958548,,,,,,,/mNHdClul57prczb5O0krrzyonnn.jpg,"",802
312,1058694,,tt14570440,Radical,10000000,2023-10-19,21761164,,419,2658047,8702731,13128433,21831164,,,,,,,/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,Pantelion Films,534
313,467244,,tt7160372,The Zone of Interest,15000000,2023-12-15,48975567,,,,8659464,44138562,52798026,,,,,,,/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,A24,598
314,798286,,tt13521006,Beau Is Afraid,35000000,2023-04-14,12337378,,4,320396,8176562,4160816,12337378,,,,,,,/wgVkkjigF31r1nZV80uV0xNIoun.jpg,A24,2125
315,1063453,,tt24807190,BTS: Yet to Come in Cinemas,0,2023-02-01,29291883,,1210,8022774,8093270,21198613,29291883,,,,,,,/eWb45OsBHSO2t1j068bqDsPOGG9.jpg,Trafalgar Releasing,1210
316,891699,,tt15799866,Silent Night,0,2023-11-30,0,,1870,3010207,8012103,3055125,11067228,,,,,,,/nJCP1ZNTPKlZ7S0Kv3gbmuraAT4.jpg,Lionsgate,1873
317,862557,,tt8051894,The Hill,0,2023-08-18,7600000,,1570,2301931,7665865,31163,7697028,,,,,,,/gKh28PVUqt1vY2oAdFlauXkDacW.jpg,Briarcliff Entertainment,1703
318,960876,,tt15428134,Dunki,239000000,2023-12-21,501000000,,551,2714469,7460159,8012892,15473051,,,,,,,/kPRb1mbVHGop0egQ7153y0lhzGL.jpg,Yash Raj Films USA Inc.,650
319,840326,,tt14846026,Sisu,6200000,2022-09-09,13000000,,1006,3330891,7265622,7015577,14281199,,,,,,,/ygO9lowFMXWymATCrhoQXd6gCEh.jpg,Lionsgate,1006
320,1892,,tt0086190,Return of the Jedi,32350000,1983-05-25,572700000,,1002,23019618,252583617,18020,252601637,,,,,,,/jQYlydvHm3kUix1f8prMucrplhm.jpg,Twentieth Century Fox,1764
321,14836,,tt0327597,Coraline,60000000,2009-02-05,172750668,,2299,16849640,75286229,50176198,125462427,,,,,,,/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,Focus Features,2320
322,762430,,tt6906292,Retribution,20000000,2023-08-23,16700000,,1750,3518830,6937696,11748055,18685751,,,,,,,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,Roadside Attractions,1750
323,1092329,,tt13848804,Journey to Bethlehem,6000000,2023-11-09,7778330,,2002,2400446,6820796,957534,7778330,,,,,,,/cJgF1vjiNoRAh5UePmiPfjrw6Iv.jpg,Affirm Films,2002
324,621587,,tt10767052,Next Goal Wins,14000000,2023-11-16,18062279,,2240,2500295,6713826,11934976,18648802,,,,,,,/xTQCL1zGugIck8MgvJ2lXSrxENR.jpg,Searchlight Pictures,2240
325,739405,,tt7985704,Operation Fortune: Ruse de Guerre,50000000,2023-01-04,37800000,,2168,3140214,6496125,42487181,48983306,,,,,,,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,Lionsgate,2168
326,758336,,tt10276482,Love Again,9000000,2023-05-04,10000000,,2703,2380962,6230837,6465747,12696584,,,,,,,/koswMk0y7jGcyofV1sBccnNtY0B.jpg,Screen Gems,2703
327,823482,,tt21942866,Dream Scenario,10000000,2023-11-10,14114415,,6,220035,5742193,6760615,12502808,,,,,,,/eMaAi8wTI5wON8pp33w3BDuGyZ8.jpg,A24,1578
328,,,tt26658653,,,,,,1979,3623742,5525069,64073,5589142,,,,,,,,Fathom Events,1979
329,913673,,tt14537248,Nefarious,3000000,2023-04-14,5400000,,933,1316266,5433685,439884,5873569,,,,,,,/xwjWUAajQJPj5aik1tounPguZbz.jpg,Soli Deo Gloria Releasing,933
330,878361,,tt12226632,Big George Foreman,32000000,2023-04-27,3800000,,3054,2925364,5426772,604430,6031202,,,,,,,/fdVd6thTstt0MQ4dUC1IXiOXpxv.jpg,Sony Pictures Releasing,3054
