TMDB ID,Title,Budget,IMDB ID,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters,Wikidata ID
1072790,Anyone But You,25000000,tt26047818,2023-12-21,214891370,,,,,,,,,,,,,/5qHoazZiaLe7oFBok7XlUhg96f2.jpg,,,
968051,The Nun II,38500000,tt10160976,2023-09-06,269467073,,,,,,,,,,,,,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg,,,
609681,The Marvels,274800000,tt10676048,2023-11-08,207089999,,,,,,,,,,,,,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,,,
615656,Meg 2: The Trench,129000000,tt9224104,2023-08-02,384056482,,,,,,,,,,,,,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,,,
614479,Insidious: The Red Door,16000000,tt13405778,2023-07-05,189086877,,,,,,,,,,,,,/d07phJqCx6z5wILDYqkyraorDPi.jpg,,,
565770,Blue Beetle,104000000,tt9362930,2023-08-16,130788072,,,,,,,,,,,,,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,,,
466420,Killers of the Flower Moon,200000000,tt5537002,2023-10-18,156922344,,,,,,,,,,,,,/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,,,
616747,Haunted Mansion,157800000,tt1695843,2023-07-26,117449790,,,,,,,,,,,,,/8Im6DknDVxRiGXc5t8rVOJyzuNx.jpg,,,
713704,Evil Dead Rise,15000000,tt13345606,2023-04-12,146700000,,,,,,,,,,,,,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,,,
807172,The Exorcist: Believer,30000000,tt12921446,2023-10-04,136284218,,,,,,,,,,,,,/fFXkAlMH2iQrNknv4eq7LGTkcti.jpg,,,
893723,PAW Patrol: The Mighty Movie,30000000,tt15837338,2023-09-21,202231360,,,,,,,,,,,,,/aTvePCU7exLepwg5hWySjwxojQK.jpg,,,
804150,Cocaine Bear,32500000,tt14209916,2023-02-22,88314672,,,,,,,,,,,,,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,,,
1022796,Wish,175000000,tt11304740,2023-11-13,254997360,,,,,,,,,,,,,/vgJZSqKMXWDDx09iSIStGKfHMku.jpg,,,
753342,Napoleon,165000000,tt13287846,2023-11-22,220597098,,,,,,,,,,,,,/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg,,,
558915,The Color Purple,95000000,tt1200263,2023-12-25,67519192,,,,,,,,,,,,,/h5bqIxM8GO4TewJ0u6Rzkg58ssJ.jpg,,,
594767,Shazam! Fury of the Gods,125000000,tt10151854,2023-03-15,134038006,,,,,,,,,,,,,/A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,,,
940721,Godzilla Minus One,15000000,tt23289160,2023-11-03,115857413,,,,,,,,,,,,,/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,,,
951491,Saw X,13000000,tt21807222,2023-09-27,111823047,,,,,,,,,,,,,/u7Lp1Hi8aBS73jv4KRMIv5aK4ax.jpg,,,
823452,The Boys in the Boat,40000000,tt1856080,2023-12-25,54401583,,,,,,,,,,,,,/ncJMztHprw3gLRAnDjNnnT23CIt.jpg,,,
964980,Air,80000000,tt16419074,2023-04-05,90100000,,,,,,,,,,,,,/76AKQPdH3M8cvsFR9K8JsOzVlY5.jpg,,,
719256,Jesus Revolution,15000000,tt10098448,2023-02-23,52300000,,,,,,,,,,,,,/A3qqrl8lJvlpRCwkbUEADXzVaDC.jpg,,,
884605,No Hard Feelings,45000000,tt15671028,2023-06-15,83000000,,,,,,,,,,,,,/4K7gQjD19CDEPd7A9KZwr2D9Nco.jpg,,,
1008042,Talk to Me,4500000,tt10638522,2023-07-26,92000000,,,,,,,,,,,,,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,,,
508883,The Boy and the Heron,50000000,tt6587046,2023-07-14,294200000,,,,,,,,,,,,,/f4oZTcfGrVTXKTWg157AwikXqmP.jpg,,,
980489,Gran Turismo,60000000,tt4495098,2023-08-09,121700000,,,,,,,,,,,,,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,,,
532408,The Boogeyman,41900000,tt3427252,2023-05-31,66978229,,,,,,,,,,,,,/pYwZdnXVnVxAr7dx4MEK7tTK9gI.jpg,,,
945729,A Haunting in Venice,60000000,tt22687790,2023-09-13,121400000,,,,,,,,,,,,,/l6iwxT0NbVw6QiF08YTIuTnXS82.jpg,,,
670292,The Creator,80000000,tt11858890,2023-09-27,104272136,,,,,,,,,,,,,/3dSivDtOuyxLDxPH4v2tcNG1fP7.jpg,,,
942922,80 for Brady,28000000,tt18079362,2023-02-03,29637811,,,,,,,,,,,,,/jixBLmH4gQuTKTenZr89egvqZbW.jpg,,,
631842,Knock at the Cabin,20000000,tt15679400,2023-02-01,54700000,,,,,,,,,,,,,/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg,,,
850165,The Iron Claw,15900000,tt21064584,2023-12-21,40130232,,,,,,,,,,,,,/s2VLjcykJfwplJNGT5iEeCA0mRx.jpg,,,
792307,Poor Things,35000000,tt14230458,2023-12-07,117607117,,,,,,,,,,,,,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,,,
1185743,Renaissance: A Film by Beyoncé,15000000,tt29354040,2023-12-01,44029271,,,,,,,,,,,,,/6sVB5xuQq9njHK455JdwgN8Tx07.jpg,,,
768362,Missing,7000000,tt10855768,2023-01-19,45100756,,,,,,,,,,,,,/wEOUYSU5Uf8J7152PT6jdb5233Y.jpg,,,
646389,Plane,25000000,tt5884796,2023-01-12,51000000,,,,,,,,,,,,,/oJRsTQR47pyjSJCZYpOfbycpNBR.jpg,,,
700391,65,45000000,tt12261776,2023-03-02,55000000,,,,,,,,,,,,,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,,,
1071215,Thanksgiving,15000000,tt1448754,2023-11-16,46553280,,,,,,,,,,,,,/f5f3TEVst1nHHyqgn7Z3tlwnBIH.jpg,,,
1001811,My Big Fat Greek Wedding 3,0,tt21103300,2023-09-07,34900000,,,,,,,,,,,,,/irEqWPmDqCuzsItzefFxX3xWpL8.jpg,,,
747188,Asteroid City,25000000,tt14230388,2023-06-08,47281670,,,,,,,,,,,,,/qdq40gRS8xKnpFt5V75t6lUHgpx.jpg,,,
906221,Magic Mike's Last Dance,45000000,tt16280138,2023-02-09,52000000,,,,,,,,,,,,,/9a9pyJZRhUWUSBT8BQqWihtqbI8.jpg,,,
